Chunk 8 sent to API:
ID000700 加泰罗尼亚突击兵
ID000701 收复失地运动中表现亮眼的突击步兵，他们携带轻便的武器与行装，士气高昂地向敌人发起冲锋。
ID000702 加泰罗尼亚雇佣兵
ID000703 他们是伊比利亚半岛收复失地运动中表现亮眼的突击步兵，他们携带轻便的武器与行装，作为精锐步兵部队加入到世界各处大大小小的战场之中。
ID000704 拜占庭军团步兵
ID000705 军团步兵是拜占庭军队的中流砥柱，他们装备精良，纪律性极强。
ID000706 帝国卫队
ID000707 这些精锐重步兵构成了拜占庭帝国不朽的防线，他们隶属于中央军，作战经验丰富。
ID000708 拜占庭弓箭手
ID000709 箭术是每一个拜占庭战士的必修课，这些技艺高超的弓箭手在己方步兵阵线的掩护下，用超乎寻常的准头将敌军一一击毙。
ID000710 瓦兰吉卫队
ID000711 这支拜占庭皇家近卫军战斗力惊人，他们身披重甲，以惊人的速度砍下一颗又一颗敌人的头颅，他们忠心耿耿，为皇帝陛下荡尽四方之敌。
ID000712 瓦兰吉卫队
ID000713 这支拜占庭皇家近卫军战斗力惊人，他们身披重甲，以惊人的速度砍下一颗又一颗敌人的头颅，他们忠心耿耿，为皇帝陛下荡尽四方之敌。
ID000714 边民卫士
ID000715 为防御周边穆斯林，本军区稍有作战能力的即可入伍，包括强盗与不法分子。他们坚持团队作战，以娴熟的战阵配合而闻名。
ID000716 边境劫掠者
ID000717 为防御周边穆斯林，本军区稍有作战能力的即可入伍，包括强盗与不法分子。他们毫无道德可言，以灵活多变的战斗方式和缺饷后对平民做出的恶行而闻名。
ID000718 投石步兵
ID000719 掷出石块骚扰敌人的轻装投石手，手法娴熟，一击脱离。
ID000720 轻装标枪手
ID000721 轻装出击的投枪手，装备简陋但行动迅速。
ID000722 先锋轻骑
ID000723 以速度和灵活著称的拜占庭轻骑兵，装备有弓箭、标枪，尤其擅长一击脱离的游击战术。
ID000724 营堡护卫
ID000725 长期驻扎在边境堡垒中的重装要塞守卫。
ID000726 长桌游士
ID000727 边境巡逻的轻装骑士，发现敌情即刻向上汇报并密切监视其动向。
ID000728 边境掠骑
ID000729 防备敌军骑兵的快速反应部队，能在第一时间做出反应并上前游击骚扰。
ID000730 安萨尔轻骑
ID000731 这些往来于朝圣之路的骑兵护卫着一批又一批虔诚的信徒。
ID000732 迅捷卫队
ID000733 他们是穆斯林征服叙利亚期间拉什顿军团的一支精锐轻骑兵部队，在大马士革围城战中以惊人的速度扭转了攻势，大败不可一世的拜占庭军队。
ID000734 炉卫
ID000735 徘徊于皇帝陛下身周，戒备森严的超重型装甲骑兵。
ID000736 炉卫
ID000737 徘徊于皇帝陛下身周，戒备森严的超重型装甲骑兵。
ID000738 马穆鲁克重骑兵
ID000739 这些经过长期训练的奴隶战士组成了我们强大的重骑兵部队，我预感他们将在未来的某场战斗中大放异彩。
ID000740 马穆鲁克骑射手
ID000741 我们的马穆鲁克奴隶战士极富战斗力，其中佼佼者的骑射技术甚至不逊于那些从小在马背上长大的游牧民族射手。
ID000742 铁甲骆驼骑兵
ID000743 为骆驼制作盔甲不是容易的工作，但回报非常值得。骇人的全甲骆驼一次冲锋就能让骑马的军队夹着尾巴逃跑。
ID000744 阿萨维拉
ID000745 这些皈依吾主的波斯武士人马具甲，他们的铁骑在几个世纪前曾立下不世之功。
ID000746 乌古斯雇佣骑兵
ID000747 乌古斯骑兵是优秀的侦察兵与突击手，他们远赴伊比利亚地区，为一切出得起价钱的雇主卖命。
ID000748 阿布纳
ID000749 我们千锤百炼的战士能在长矛与大刀下稳步推进，他们熟练地使用短矛与标枪，杀死任何敢于正面来犯的敌人。超强的纪律性使得他们丝毫不惧贴身肉搏，他们手中的短剑和匕首将给予敌人致命一击。
ID000750 古拉姆重骑兵
ID000751 这些常年战斗在一线的重装奴隶骑兵既忠诚又强大，他们以悍不畏死的战斗风格而闻名于世。
ID000752 古拉姆重骑兵
ID000753 这些常年战斗在一线的重装奴隶骑兵既忠诚又强大，他们以悍不畏死的战斗风格而闻名于世。
ID000754 库尔德掷矛手
ID000755 这些古老的山间战士能用简易的投矛对敌人造成大量伤害。
ID000756 伊克塔剑士
ID000757 穆斯林统治者征募的青壮年战士，用于维护地区秩序。
ID000758 古扎特圣战志愿军
ID000759 狂热的宗教战军，一切异端都将被碾为齑粉。
ID000760 奴隶战士
ID000761 难堪大用的奴兵，装备破烂，纪律涣散，只能用作填线的炮灰。
ID000762 奴隶战士
ID000763 难堪大用的奴兵，装备破烂，纪律涣散，只能用作填线的炮灰
ID000764 奴隶战士
ID000765 难堪大用的奴兵，装备破烂，纪律涣散，只能用作填线的炮灰
ID000766 奴隶战士
ID000767 难堪大用的奴兵，装备破烂，纪律涣散，只能用作填线的炮灰
ID000768 奴隶战士
ID000769 难堪大用的奴兵，装备破烂，纪律涣散，只能用作填线的炮灰
ID000770 凯尔特人
ID000771 凯尔特人为上古欧洲一个由共同语言和文化传统凝合起来的松散族群，属古代型民族集团。他们一次又一次的反抗侵略，不屈服于外来者，仿佛这一切就刻在他们骨子里。
ID000772 盎格鲁—撒克逊精选民兵
ID000773 早先在迁徙和定居期间的混乱时期战争是由少量的亲卫军战士主导的，而到了8世纪，盎格鲁—撒克逊人的领袖们已经有了自己的既定王国。所以从某种意义上说，需要付出更大的后勤努力来保护自己的土地和进行战争。作为一种解决方案，盎格鲁-撒克逊人开始实施所谓的“选拔的自由民兵（select fyrd）”。
ID000774 组织亲卫
ID000775 在日耳曼人大规模迁徙到英国的混乱领域时，部落首领和国王们会召集他们选拔出来的强大战士，这些人拥有最好的武器与装备，同时他们也是国王和王公们的家兵，要为战争进行专门的训练。
ID000776 威尔士长弓
ID000777 威尔士长弓的材料选用紫杉木进行制作，这种木材重量较轻而且弹性极佳，这让长弓的杀伤力十分惊人。
ID000778 投石索
ID000779 投石索是人类文明的活化石，快速飞出的石块甚至能击倒一头野牛。将它用于战争亦能发挥很大作用。
ID000780 高地氏族
ID000781 苏格兰北部高地上生活着大量彪悍的高地氏族，他们保留着原始的凯尔特生活方式以及部落联盟制度，他们是天生的战士，呼啸于群山之间。
ID000782 雇佣外乡勇士
ID000783 苏格兰北部高地的盖尔人凶悍无比，他们是无可匹敌的战斗狂热分子，并且乐于为金钱卖命。最重要的是他们几乎不掺和我们本地的政治斗争，只要价钱合适，他们就会乖乖听话。
ID000784 勇士之家
ID000785 苏格兰北部高地自古以来就是盖尔人的家园，我们的勇士很乐意为家国而战。
ID000786 面包与蜜酒
ID000787 领主将面包分给他的追随者，象征着领主和他的战士之间的联系与忠诚。当然，即使在隐藏的意义和象征意义之外，这些娱乐活动更多的时候也是作为一种磨合练习，高级军人之间以更自由的语气进行交流，从而在实战中更好地规划和协调。
ID000788 温彻斯特之书
ID000789 温彻斯特之书也被称为末日审判书，是一本英格兰全国土地调查情况的汇编。目的在于了解王田及国王的直接封臣的地产情况，以便收取租税，加强财政管理，并确定封臣的封建义务。
ID000790 征服者姿态
ID000791 我们征服了不列颠群岛，这些土著理应效忠于我。
ID000792 阿莫利卡
ID000793 我们是日耳曼大迁徙时期被迫流亡至此的海岛凯尔特人，罗马人称此地为
ID000794 （Armorica），罗马帝国灭亡后我们不仅保持着相对独立的政治环境，同时还保存了罗马晚期的骑兵制度，我们的骑士坚韧而富有纪律性，是这片大陆上最优秀的战士。
ID000795 伊比利亚城市民兵
ID000796 伊比利亚城市民兵在中世纪中期所起的作用值得重视，诞生于边境纷争的地方民兵为半岛上的君主们效力，一旦遇到各种紧迫的形势，他们可以迅速扩充自己的实力，无论在军事上还是在经济上，亦或是在制约地方贵族势力上，城市民兵都可以给国王的决策提供更多的灵活性。
ID000797 西班牙大乡绅
ID000798 随着伊比利亚地区的逐渐解放，我们将土地保有权赐予手下忠诚的领主并免除其一部分赋税，他们则负责提供接下来一系列光复战争所需的骑兵部队。
ID000799 土地授予

